created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2021-11-29T12:06:51+07:00,1,679.16589,8.67,0,6.73828,30,74,NAN,,,,
2021-11-29T12:12:10+07:00,2,581.37817,8.49338,0.00424,6.44531,30,73,NAN,,,,
2021-11-29T12:17:25+07:00,3,657.98468,8.84869,0.01432,5.71289,30,74,NAN,,,,
2021-11-29T12:22:44+07:00,4,661.93878,8.84869,0.00256,5.66406,30,73,NAN,,,,
2021-11-29T12:38:19+07:00,5,637.27466,8.75908,0,5.41992,30,74,NAN,,,,
2021-11-29T12:43:32+07:00,6,683.24725,9.03187,0.01432,5.22461,30,73,NAN,,,,
2021-11-29T12:48:47+07:00,7,661.93878,9.12386,0,4.93164,30,73,NAN,,,,
2021-11-29T12:54:01+07:00,8,683.24725,9.40307,0,4.63867,30,73,NAN,,,,
2021-11-29T13:06:52+07:00,9,647.7771,9.11597,0,10.20508,29,73,NAN,,,,
2021-11-29T13:12:05+07:00,10,593.66614,8.41037,0,4.39453,30,75,NAN,,,,
2021-11-29T13:17:20+07:00,11,254.16377,6.33505,0.00592,3.51563,30,74,NAN,,,,
2021-11-29T13:22:34+07:00,12,254.16377,6.18864,0.00508,2.97852,30,74,NAN,,,,
2021-11-29T13:27:48+07:00,13,252.64224,6.18864,0.01516,2.19727,30,75,NAN,,,,
2021-11-29T13:33:02+07:00,14,243.528,6.04406,0.00844,2.34375,30,74,NAN,,,,
2021-11-29T13:38:16+07:00,15,255.28331,6.11612,0,9.22852,29,75,NAN,,,,
2021-11-29T13:48:56+07:00,16,246.06821,8.55218,0,3.07617,29,74,NAN,,,,
2021-11-29T13:54:10+07:00,17,274.73251,9.28787,0.00508,2.88086,30,75,NAN,,,,
2021-11-29T13:59:23+07:00,18,263.52789,9.61316,0,3.17383,30,75,NAN,,,,
2021-11-29T14:04:38+07:00,19,267.88037,9.28787,0.00508,3.27148,29,74,NAN,,,,
2021-11-29T14:09:52+07:00,20,255.28331,9.18079,0.01432,3.17383,29,75,NAN,,,,
2021-11-29T14:15:06+07:00,21,264.69119,8.96861,0.00928,3.125,29,76,NAN,,,,
2021-11-29T14:20:19+07:00,22,261.94687,8.96861,0.00592,3.36914,30,76,NAN,,,,
2021-11-29T14:25:33+07:00,23,267.88037,8.96861,0.00424,3.02734,29,74,NAN,,,,
2021-11-29T14:30:46+07:00,24,267.88037,8.96861,0.00424,3.27148,29,74,NAN,,,,
2021-11-29T14:36:01+07:00,25,267.88037,8.86351,0.016,2.92969,29,74,NAN,,,,
2021-11-29T14:41:15+07:00,26,267.88037,8.96861,0.02104,2.68555,29,74,NAN,,,,
2021-11-29T14:46:29+07:00,27,252.23747,8.86351,0.0118,3.17383,29,77,NAN,,,,
2021-11-29T14:51:44+07:00,28,261.52628,8.86351,0.0244,5.22461,29,78,NAN,,,,
2021-11-29T14:56:57+07:00,29,258.38577,8.86351,0,0.43945,29,80,NAN,,,,
2021-11-29T15:02:11+07:00,30,274.2923,9.28787,0.00172,3.75977,29,77,NAN,,,,
2021-11-29T15:07:25+07:00,31,263.10562,9.28787,0.02104,3.36914,29,77,NAN,,,,
2021-11-29T15:12:39+07:00,32,263.10562,9.28787,0.01264,3.41797,29,77,NAN,,,,
2021-11-29T15:17:53+07:00,33,258.80307,9.28787,0,3.07617,30,78,NAN,,,,
2021-11-29T15:23:07+07:00,34,269.80676,9.39563,0.00424,17.33398,30,78,NAN,,,,
2021-11-29T15:28:22+07:00,35,274.2923,9.28787,0.00928,3.95508,29,77,NAN,,,,
2021-11-29T15:33:36+07:00,36,260.37198,9.18079,0.00088,3.22266,30,77,NAN,,,,
2021-11-29T15:38:50+07:00,37,273.08429,9.39563,0.00424,3.125,30,76,NAN,,,,
2021-11-29T15:44:05+07:00,38,273.08429,9.50406,0.00508,2.24609,30,76,NAN,,,,
2021-11-29T15:49:18+07:00,39,273.08429,9.50406,0.00256,2.88086,30,76,NAN,,,,
2021-11-29T15:54:33+07:00,40,277.60446,9.18079,0.0202,2.44141,29,75,NAN,,,,
2021-11-29T15:59:47+07:00,41,273.08429,9.28787,0,2.39258,30,76,NAN,,,,
2021-11-29T16:05:01+07:00,42,277.60446,9.28787,0.01012,2.44141,29,75,NAN,,,,
2021-11-29T16:10:15+07:00,43,271.44229,9.39563,0.0076,2.24609,30,77,NAN,,,,
2021-11-29T16:15:30+07:00,44,275.94516,9.39563,0,6.39648,29,76,NAN,,,,
2021-11-29T16:20:44+07:00,45,282.83313,9.61316,0,0,30,77,NAN,,,,
2021-11-29T16:25:59+07:00,46,271.44229,9.28787,0,2.29492,30,77,NAN,,,,
2021-11-29T16:31:13+07:00,47,301.23639,9.72293,0,2.24609,29,75,NAN,,,,
2021-11-29T16:36:27+07:00,48,282.83313,9.61316,0,2.29492,30,77,NAN,,,,
2021-11-29T16:41:41+07:00,49,275.94516,9.61316,0.00508,0,29,76,NAN,,,,
2021-11-29T16:46:54+07:00,50,264.69119,9.61316,0.00676,0.53711,29,76,NAN,,,,
2021-11-29T16:52:09+07:00,51,261.94687,9.61316,0,0.97656,30,76,NAN,,,,
2021-11-29T16:57:23+07:00,52,299.43588,10.05633,0.00844,2.24609,29,76,NAN,,,,
2021-11-29T17:02:37+07:00,53,289.25369,9.83338,0,2.24609,29,75,NAN,,,,
2021-11-29T17:07:51+07:00,54,311.68353,10.28201,0,2.19727,29,76,NAN,,,,
2021-11-29T17:13:05+07:00,55,344.78333,10.28201,0.00508,2.24609,30,77,NAN,,,,
2021-11-29T17:18:20+07:00,56,344.78333,10.51045,0,2.24609,30,77,NAN,,,,
2021-11-29T17:23:33+07:00,57,337.21149,10.16883,0.00088,2.19727,29,76,NAN,,,,
2021-11-29T17:28:47+07:00,58,344.78333,10.51045,0,2.24609,30,77,NAN,,,,
2021-11-29T17:34:01+07:00,59,337.21149,10.51045,0.016,2.24609,29,76,NAN,,,,
2021-11-29T17:39:15+07:00,60,350.50281,10.16883,0.0076,2.24609,29,76,NAN,,,,
2021-11-29T17:44:30+07:00,61,324.27359,10.05633,0.03448,2.19727,29,76,NAN,,,,
2021-11-29T17:55:17+07:00,62,324.27359,8.47014,0,2.19727,29,76,NAN,,,,
2021-11-29T18:00:31+07:00,63,337.21149,8.85657,0.00928,2.58789,29,76,NAN,,,,
2021-11-29T18:05:45+07:00,64,350.50281,8.85657,0.016,2.19727,29,76,NAN,,,,
2021-11-29T18:10:59+07:00,65,350.50281,8.75908,0.01012,2.19727,29,76,NAN,,,,
2021-11-29T18:16:13+07:00,66,337.21149,8.66218,0.02272,2.19727,29,76,NAN,,,,
2021-11-29T18:21:27+07:00,67,364.15332,8.95466,0.04035,2.19727,29,76,NAN,,,,
2021-11-29T18:26:41+07:00,68,361.97223,9.05334,0,2.19727,29,77,NAN,,,,
2021-11-29T18:31:56+07:00,69,359.79929,9.35299,0.01852,2.24609,29,78,NAN,,,,
2021-11-29T18:37:10+07:00,70,373.64728,9.55576,0.0076,2.24609,29,78,NAN,,,,
2021-11-29T18:42:24+07:00,71,373.64728,9.76097,0,2.24609,29,78,NAN,,,,
2021-11-29T18:47:40+07:00,72,365.29956,9.45407,0.02188,2.19727,30,80,NAN,,,,
2021-11-29T18:52:54+07:00,73,357.63477,9.65806,0.06303,2.14844,29,79,NAN,,,,
2021-11-29T18:58:08+07:00,74,324.68118,9.05334,0.05211,2.14844,28,84,NAN,,,,
2021-11-29T19:03:22+07:00,75,326.66043,9.15262,0.05043,2.14844,28,83,NAN,,,,
2021-11-29T19:08:36+07:00,76,326.66043,8.95466,0.06303,2.14844,28,83,NAN,,,,
2021-11-29T19:13:52+07:00,77,316.03802,8.75908,0.05631,2.14844,28,82,NAN,,,,
2021-11-29T19:19:07+07:00,78,300.58902,8.56586,0.05547,2.14844,29,82,NAN,,,,
2021-11-29T19:24:22+07:00,79,305.61136,8.47014,0.05715,2.14844,28,81,NAN,,,,
2021-11-29T19:29:36+07:00,80,257.96881,8.18647,0.07311,2.19727,28,82,NAN,,,,
2021-11-29T20:00:16+07:00,81,268.93707,8.75908,0,2.29492,28,82,NAN,,,,
2021-11-29T20:05:32+07:00,82,267.31113,8.8591,0.06891,2.24609,28,83,NAN,,,,
2021-11-29T20:10:47+07:00,83,279.77017,9.061,0.08151,2.29492,27,84,NAN,,,,
2021-11-29T20:16:02+07:00,84,437.05872,10.65566,0.05463,2.7832,28,84,NAN,,,,
2021-11-29T20:22:46+07:00,85,473.85574,8.57826,0,2.97852,27,84,NAN,,,,
2021-11-29T20:28:01+07:00,86,659.79211,10.08564,0.04875,3.22266,27,84,NAN,,,,
2021-11-29T20:33:16+07:00,87,635.34839,9.79228,0.05463,3.27148,27,85,NAN,,,,
2021-11-29T20:38:32+07:00,88,836.58478,10.89294,0.08571,3.56445,27,85,NAN,,,,
2021-11-29T20:43:47+07:00,89,886.79529,10.99645,0.0983,3.71094,27,85,NAN,,,,
2021-11-29T20:49:03+07:00,90,712.39758,10.38409,0.13106,3.4668,28,85,NAN,,,,
2021-11-29T21:31:18+07:00,91,2460.6636,10.41976,0.00256,5.46875,28,84,NAN,,,,
2021-11-29T21:32:37+07:00,92,1704.8014,8.83528,0,5.0293,28,84,NAN,,,,
2021-11-29T21:37:51+07:00,93,1746.2257,8.9119,0.17137,5.0293,28,84,NAN,,,,
2021-11-29T21:43:08+07:00,94,1594.4995,8.45839,0.07143,4.83398,28,83,NAN,,,,
2021-11-29T21:48:23+07:00,95,1407.2726,7.66473,0.07143,2.92969,28,83,NAN,,,,
2021-11-29T21:53:37+07:00,96,1517.5614,8.38424,0.06219,2.44141,28,83,NAN,,,,
2021-11-29T21:58:52+07:00,97,1517.5614,8.38424,0.04119,17.82227,28,83,NAN,,,,
2021-11-29T22:04:08+07:00,98,1269.4252,7.87643,0.07227,3.27148,28,83,NAN,,,,
2021-11-29T22:09:23+07:00,99,1141.6227,7.38789,0.09158,4.3457,28,83,NAN,,,,
2021-11-29T22:14:37+07:00,100,1148.5664,7.52554,0.13946,4.24805,28,82,NAN,,,,
2021-11-29T22:19:53+07:00,101,1179.792,7.52554,0.1193,4.29688,28,82,NAN,,,,
2021-11-29T22:25:08+07:00,102,1179.792,7.59494,0.17977,4.24805,28,82,NAN,,,,
2021-11-29T22:37:23+07:00,103,1087.9086,8.51589,0,4.10156,28,82,NAN,,,,
2021-11-29T22:43:49+07:00,104,1148.5664,8.59944,0,4.19922,28,82,NAN,,,,
2021-11-29T22:49:04+07:00,105,1244.0743,8.9205,0.11846,4.3457,28,82,NAN,,,,
2021-11-29T22:54:19+07:00,106,1244.0743,8.75908,0.07815,4.3457,28,82,NAN,,,,
2021-11-29T22:59:34+07:00,107,1143.4719,8.59944,0.09326,4.24805,29,81,NAN,,,,
2021-11-29T23:04:48+07:00,108,1271.4812,8.83956,0.08403,9.47266,29,81,NAN,,,,
2021-11-29T23:15:13+07:00,109,1174.5583,8.59944,0.0202,4.10156,29,81,NAN,,,,
2021-11-29T23:20:29+07:00,110,1112.9827,8.36331,0.03112,4.05273,29,81,NAN,,,,
2021-11-29T23:25:44+07:00,111,1119.7484,8.36331,0.04959,3.80859,29,80,NAN,,,,
2021-11-29T23:31:00+07:00,112,1119.7484,8.44158,0.00676,2.29492,29,80,NAN,,,,
2021-11-29T23:36:14+07:00,113,1025.0232,8.05456,0.01264,3.125,29,81,NAN,,,,
2021-11-29T23:41:29+07:00,114,1031.2542,8.05456,0.01936,2.09961,29,80,NAN,,,,
2021-11-29T23:46:44+07:00,115,1035.8387,8.59944,0,10.25391,28,81,NAN,,,,
2021-11-30T07:35:26+07:00,116,471.75266,7.89019,0,13.33008,28,83,NAN,,,,
2021-11-30T07:40:40+07:00,117,382.58554,5.89551,0.09242,4.93164,28,82,NAN,,,,
2021-11-30T07:45:54+07:00,118,368.56476,5.37937,0.0899,4.88281,28,82,NAN,,,,
2021-11-30T07:51:08+07:00,119,380.27261,5.15857,0.08487,19.28711,28,83,NAN,,,,
2021-11-30T07:56:23+07:00,120,382.58554,4.99638,0.08906,1.17188,28,82,NAN,,,,
2021-11-30T08:01:37+07:00,121,368.56476,4.7846,0.08487,4.49219,28,82,NAN,,,,
2021-11-30T08:06:53+07:00,122,429.46466,5.15857,0.02272,18.50586,28,81,NAN,,,,
2021-11-30T08:12:08+07:00,123,466.68866,5.21328,0.02776,12.01172,28,79,NAN,,,,
2021-11-30T08:17:22+07:00,124,503.3317,5.26832,0.01264,1.51367,28,78,NAN,,,,
2021-11-30T08:22:36+07:00,125,466.68866,5.15857,0.03364,2.63672,28,79,NAN,,,,
2021-11-30T08:27:50+07:00,126,498.11011,5.15857,0.03028,14.89258,29,78,NAN,,,,
2021-11-30T08:33:05+07:00,127,560.57977,5.37937,0.06303,1.95313,28,77,NAN,,,,
2021-11-30T08:38:19+07:00,128,520.8703,5.43539,0.0076,6.64063,28,78,NAN,,,,
2021-11-30T08:43:33+07:00,129,668.89624,5.72045,0.03448,0.92773,28,80,NAN,,,,
2021-11-30T08:48:48+07:00,130,648.03503,5.66277,0.05799,10.69336,28,80,NAN,,,,
2021-11-30T08:54:04+07:00,131,694.39832,6.01391,0.03615,5.81055,28,79,NAN,,,,
2021-11-30T08:59:19+07:00,132,785.10876,6.19408,0.04035,0,28,79,NAN,,,,
2021-11-30T09:04:34+07:00,133,809.03748,6.43917,0.05463,9.375,28,79,NAN,,,,
2021-11-30T09:09:49+07:00,134,789.84235,6.25483,0.04371,4.15039,28,78,NAN,,,,
2021-11-30T09:15:03+07:00,135,813.91559,6.43917,0.0286,6.93359,28,78,NAN,,,,
2021-11-30T09:20:17+07:00,136,789.84235,6.25483,0.03448,0.78125,28,78,NAN,,,,
2021-11-30T09:25:31+07:00,137,789.84235,6.37737,0.02272,8.44727,28,78,NAN,,,,
2021-11-30T09:30:46+07:00,138,883.93951,6.56381,0.01852,5.32227,28,79,NAN,,,,
2021-11-30T09:36:01+07:00,139,904.50323,6.62667,0.04119,2.14844,28,80,NAN,,,,
2021-11-30T09:41:16+07:00,140,997.3222,6.81737,0.02272,4.29688,28,78,NAN,,,,
2021-11-30T09:46:30+07:00,141,997.3222,6.62667,0.03364,2.00195,28,78,NAN,,,,
2021-11-30T09:51:44+07:00,142,1031.9093,6.68987,0.05127,2.68555,28,77,NAN,,,,
2021-11-30T09:56:59+07:00,143,1282.1191,7.27503,0.03196,1.51367,28,77,NAN,,,,
2021-11-30T10:02:15+07:00,144,1386.3308,7.54466,0.03615,2.68555,28,77,NAN,,,,
2021-11-30T10:07:30+07:00,145,1534.6663,7.89019,0.03615,3.41797,28,77,NAN,,,,
2021-11-30T10:12:46+07:00,146,843.55103,6.43917,0.05127,3.125,28,77,NAN,,,,
2021-11-30T10:18:00+07:00,147,1778.3972,8.10211,0.06639,3.66211,28,77,NAN,,,,
2021-11-30T10:23:15+07:00,148,2097.2661,8.90948,0.04623,2.92969,28,77,NAN,,,,
2021-11-30T10:28:29+07:00,149,2049.3254,9.06151,0.05883,1.80664,28,77,NAN,,,,
2021-11-30T10:33:44+07:00,150,1967.6125,8.90948,0.03531,4.05273,28,76,NAN,,,,
2021-11-30T10:38:59+07:00,151,1714.6105,8.83408,0.05547,3.90625,28,75,NAN,,,,
2021-11-30T10:44:19+07:00,152,1704.4001,8.31753,0.05547,3.41797,28,76,NAN,,,,
2021-11-30T10:49:35+07:00,153,1514.5551,8.03108,0.14617,2.34375,28,75,NAN,,,,
2021-11-30T10:54:51+07:00,154,1622.6926,8.39013,0.03615,2.92969,28,76,NAN,,,,
2021-11-30T11:05:22+07:00,155,1467.8894,8.10211,0.04455,3.56445,28,76,NAN,,,,
2021-11-30T11:10:37+07:00,156,1498.9441,8.10211,0.01516,3.07617,29,75,NAN,,,,
2021-11-30T11:15:52+07:00,157,1090.8293,7.27503,0.05547,3.36914,28,77,NAN,,,,
2021-11-30T11:21:06+07:00,158,1079.5818,7.47669,0.04119,1.9043,27,85,NAN,,,,
2021-11-30T11:26:20+07:00,159,1170.7615,7.68173,0.02188,2.19727,27,85,NAN,,,,
2021-11-30T11:31:34+07:00,160,1146.7122,7.613,0.03028,3.4668,27,84,NAN,,,,
2021-11-30T11:36:49+07:00,161,1165.5542,7.613,0.02944,1.51367,28,84,NAN,,,,
2021-11-30T11:42:05+07:00,162,1165.5542,7.82032,0.00844,3.66211,28,84,NAN,,,,
2021-11-30T11:47:18+07:00,163,1134.7056,7.75083,0.02776,3.75977,28,84,NAN,,,,
2021-11-30T11:52:32+07:00,164,1039.3378,7.54466,0.02944,3.90625,28,85,NAN,,,,
2021-11-30T11:57:49+07:00,165,1068.2534,7.68173,0.04455,4.88281,28,85,NAN,,,,
2021-11-30T12:03:06+07:00,166,1043.9918,7.68173,0.04707,4.05273,27,86,NAN,,,,
2021-11-30T12:08:22+07:00,167,1061.7523,7.68173,0.04455,4.83398,28,86,NAN,,,,
2021-11-30T12:13:39+07:00,168,1009.3456,7.47669,0.04035,3.61328,27,87,NAN,,,,
2021-11-30T12:29:14+07:00,169,1052.0615,7.20854,0.03699,11.66992,28,83,NAN,,,,
2021-11-30T12:34:30+07:00,170,1058.4607,7.14244,0.03448,6.68945,28,82,NAN,,,,
2021-11-30T12:39:44+07:00,171,1058.4607,7.14244,0.03615,11.96289,28,82,NAN,,,,
2021-11-30T12:44:59+07:00,172,1053.7653,7.20854,0.0286,1.41602,29,81,NAN,,,,
2021-11-30T12:50:15+07:00,173,1064.8844,7.14244,0.04119,5.0293,28,81,NAN,,,,
2021-11-30T13:00:41+07:00,174,1094.5111,7.47669,0.03951,10.64453,28,81,NAN,,,,
2021-11-30T13:05:56+07:00,175,1101.139,7.47669,0.04119,8.49609,28,80,NAN,,,,
2021-11-30T21:42:11+07:00,176,694.99109,8.53788,0,1.85547,28,84,NAN,,,,
2021-11-30T21:47:26+07:00,177,612.61371,8.46495,0.03867,0,28,84,NAN,,,,
2021-11-30T21:52:42+07:00,178,612.61371,8.68495,0.03028,0.83008,28,84,NAN,,,,
2021-11-30T21:57:57+07:00,179,558.92822,8.32025,0.14533,3.125,28,83,NAN,,,,
2021-11-30T22:03:13+07:00,180,596.76746,8.75908,0.05715,15.52734,28,83,NAN,,,,
2021-11-30T22:08:28+07:00,181,590.50891,8.83361,0.06219,1.17188,29,83,NAN,,,,
2021-11-30T22:21:33+07:00,182,549.70288,8.53856,0,16.55273,29,84,NAN,,,,
